Time,Open,Close,High,Low,Amount,Volume
2023-03-11 23:10:00,1461.08,1459.35,1461.65,1458.75,54.9698381,80249.016680131
2023-03-11 23:15:00,1459.34,1458.85,1460.24,1458.59,36.4075423,53124.488094994
2023-03-11 23:20:00,1459.22,1459.66,1461.77,1458.5,91.7676558,133976.157516647
2023-03-11 23:25:00,1459.66,1460.54,1460.98,1459.3,34.9273519,50988.495980568
2023-03-11 23:30:00,1460.61,1459.55,1460.8,1459.29,30.0222597,43835.705827694
2023-03-11 23:35:00,1459.77,1465.23,1465.97,1459.77,149.2518599,218480.060549786
2023-03-11 23:40:00,1465.24,1464.83,1467.3,1462.84,400.2936797,586624.935973142
2023-03-11 23:45:00,1464.74,1466.21,1466.43,1464,103.9923821,152354.905374074
2023-03-11 23:50:00,1466.2,1474.21,1477.57,1466.2,635.3741418,935620.87766926
2023-03-11 23:55:00,1474.21,1472.07,1474.51,1469.68,159.1319163,234196.752760683
2023-03-12 00:00:00,1472.07,1470.14,1472.07,1468.01,88.2317428,129674.10471738
2023-03-12 00:05:00,1470.15,1468.72,1472.88,1468.35,133.244405,195992.698740513
2023-03-12 00:10:00,1468.73,1463.9,1469.8,1463.31,279.8704277,410270.146595942
2023-03-12 00:15:00,1463.9,1465.2,1467.8,1463.35,284.2752503,416958.802474724
2023-03-12 00:20:00,1464.98,1464.78,1467.13,1464.37,142.326639,208548.661830179
2023-03-12 00:25:00,1464.66,1463.97,1464.95,1462.43,106.5555595,155996.880291969
2023-03-12 00:30:00,1463.97,1463.81,1465.06,1462.33,61.1559703,89515.007736337
2023-03-12 00:35:00,1463.81,1462.54,1464.36,1462.14,55.4459188,81118.097235749
2023-03-12 00:40:00,1462.19,1460.45,1462.55,1460.01,97.9856222,143166.724722266
2023-03-12 00:45:00,1460.46,1460.82,1461.55,1460.26,46.0229137,67233.968369491
2023-03-12 00:50:00,1460.82,1462.49,1464.68,1460.63,97.7432915,143021.96387858
2023-03-12 00:55:00,1462.5,1463.84,1465.25,1462.2,65.1713637,95375.81121203
2023-03-12 01:00:00,1463.98,1466.14,1466.45,1463.98,38.6050697,56579.10493085
2023-03-12 01:05:00,1465.99,1463.86,1467.65,1463.73,82.5160436,120929.799362746
2023-03-12 01:10:00,1463.85,1464.99,1464.99,1462.79,66.6750619,97620.615945369
2023-03-12 01:15:00,1464.86,1468.27,1468.27,1464.34,72.7674077,106769.801704356
2023-03-12 01:20:00,1468.26,1467.22,1468.3,1466.7,23.2160902,34064.60239897
2023-03-12 01:25:00,1467.22,1465.03,1467.35,1464.66,148.6904961,217899.484074525
2023-03-12 01:30:00,1465.03,1462.08,1466.78,1461.84,122.9260292,179937.040040031
2023-03-12 01:35:00,1462.17,1460.75,1463.22,1460.75,84.5573563,123590.678382373
2023-03-12 01:40:00,1460.75,1461.17,1463.09,1460.75,73.7710095,107833.979124506
2023-03-12 01:45:00,1461.16,1463.71,1464.21,1461.07,132.2553896,193509.556144778
2023-03-12 01:50:00,1463.72,1463.78,1463.79,1462.88,26.1969528,38341.663869057
2023-03-12 01:55:00,1463.92,1463.39,1464.47,1462.48,33.9205341,49633.33892486
2023-03-12 02:00:00,1463.39,1462.02,1464.33,1461.72,46.7203615,68360.144771989
2023-03-12 02:05:00,1462.03,1460.01,1462.57,1460,23.5090295,34348.06495303
2023-03-12 02:10:00,1460,1457.06,1460.08,1456,267.7111143,390314.152471509
2023-03-12 02:15:00,1457.07,1458.69,1458.69,1456.62,80.2594453,116994.639200913
2023-03-12 02:20:00,1458.69,1458.66,1459.17,1458.16,46.905309,68417.21559268
2023-03-12 02:25:00,1458.66,1455.79,1458.66,1454.4,69.3423406,101009.209890788
2023-03-12 02:30:00,1456.06,1457.44,1457.62,1453.5,286.6031719,417259.593311095
2023-03-12 02:35:00,1457.44,1457.73,1458.09,1456.26,85.2999534,124277.400226384
2023-03-12 02:40:00,1457.73,1458.77,1459.41,1457.72,62.3555859,90955.939046654
2023-03-12 02:45:00,1458.78,1463.25,1466.41,1458.77,346.7420309,507172.715132572
2023-03-12 02:50:00,1463.24,1464.66,1464.66,1462.1,229.282163,335468.340355279
2023-03-12 02:55:00,1464.66,1465.08,1465.28,1463.82,75.9206484,111178.712220375
2023-03-12 03:00:00,1465.49,1466.6,1467.25,1465.48,93.9208709,137724.83085257
2023-03-12 03:05:00,1466.68,1470.5,1470.78,1464.49,287.0120602,421141.001429559
2023-03-12 03:10:00,1470.51,1469.48,1473.78,1468.8,402.6664075,592515.570994027
2023-03-12 03:15:00,1469.54,1467.97,1472.41,1467.97,97.2265372,142984.732209149
2023-03-12 03:20:00,1467.86,1466.49,1468.25,1466.49,78.8453184,115693.478716548
2023-03-12 03:25:00,1466.49,1465.55,1467.23,1465.47,97.0938336,142375.157014111
2023-03-12 03:30:00,1465.46,1464.27,1467.38,1463.7,115.5811831,169438.039050687
2023-03-12 03:35:00,1464.27,1465.44,1465.66,1462.68,40.2077039,58870.195473165
2023-03-12 03:40:00,1465.44,1467.5,1467.55,1465.18,44.3993234,65089.450896375
2023-03-12 03:45:00,1467.79,1466.73,1467.79,1466.01,23.3814805,34299.369496659
2023-03-12 03:50:00,1466.51,1466.23,1467.15,1466.02,12.5684867,18432.303012885
2023-03-12 03:55:00,1466.23,1466.75,1466.76,1464.59,68.76332,100792.147755587
2023-03-12 04:00:00,1466.75,1465.04,1467.37,1465.04,39.4807806,57898.105143218
2023-03-12 04:05:00,1465.11,1466.4,1467.26,1464.92,26.8993518,39425.290485891
2023-03-12 04:10:00,1466.39,1464.51,1466.39,1464.03,72.6485056,106417.922856749
2023-03-12 04:15:00,1464.5,1465.69,1466.49,1464.29,64.392263,94352.979555032
2023-03-12 04:20:00,1465.7,1463.83,1466.22,1463.53,69.4001491,101641.724630212
2023-03-12 04:25:00,1463.55,1461.65,1463.55,1461.55,119.1099449,174207.194176383
2023-03-12 04:30:00,1461.65,1463.05,1463.49,1460.72,78.1564142,114281.864552582
2023-03-12 04:35:00,1463.05,1464.47,1466.04,1463.05,137.6435547,201543.347059473
2023-03-12 04:40:00,1464.47,1466.15,1466.23,1464.41,78.9096941,115608.600282929
2023-03-12 04:45:00,1466.14,1465.69,1467.01,1465.37,61.4419962,90097.274889305
2023-03-12 04:50:00,1465.6,1465.13,1465.6,1464.23,76.7936544,112484.67293861
2023-03-12 04:55:00,1465.13,1465.38,1465.56,1464.38,66.9075405,98031.818321054
2023-03-12 05:00:00,1465.38,1468.14,1468.61,1465.23,234.1978248,343574.779327187
2023-03-12 05:05:00,1468.14,1468.86,1468.91,1467.04,106.6986341,156613.897426571
2023-03-12 05:10:00,1468.86,1468.24,1469.7,1467.73,54.5136421,80075.555429901
2023-03-12 05:15:00,1468.2,1469.9,1470.28,1468.2,52.7228985,77489.337266807
2023-03-12 05:20:00,1469.89,1466.85,1471.12,1466.82,213.8822464,314358.492274405
2023-03-12 05:25:00,1466.85,1467.17,1467.9,1466.79,93.1542913,136680.558469131
2023-03-12 05:30:00,1467.17,1468.73,1468.88,1467.17,71.0391326,104283.831171025
2023-03-12 05:35:00,1468.73,1466.63,1469.05,1466.09,27.2625691,40010.377632317
2023-03-12 05:40:00,1466.63,1465.52,1467.04,1465.51,40.0782203,58761.039374948
